scheme,spec,fold,held_out,n_test,n_pairs,minutes,gdm_rho,gdm_dev,sgdm_cx,sgdm_cz,sgdm_rho,sgdm_dev,geo_rho,geo_dev,gdm_geo_rho,gdm_geo_dev,rf_axes_rho,oracle_rho,oracle2_rho
kfold5_owner,curve+topo,0,fold0,211,22155,0.61,0.7410622329621207,0.4335356715023916,0.3,0.3,0.7535484231868985,0.364287898166644,0.698073387376069,0.3423243842658018,0.778412463211622,0.535416140431423,0.7504995598427091,0.6497235240788809,0.6511982989228915
kfold5_owner,curve+topo,1,fold1,241,28920,0.49,0.41475725770739136,0.23501131870964298,0.3,0.3,0.33635732341697316,0.151345446875653,0.3720582332411146,0.1968429451872553,0.4290456118591236,0.28916202577009165,0.28342999501844207,0.46957113621594504,0.22395542225238133
kfold5_owner,curve+topo,2,fold2,187,17391,0.59,0.5556427792186689,0.15639883491760498,0.3,0.3,0.5077280773914232,0.13481999859853855,0.4395918914352873,0.08585412114865143,0.563698261956763,0.20992660290956822,0.43355069649248107,0.4438480862988432,0.49821571183895147
kfold5_owner,curve+topo,3,fold3,232,26796,0.73,0.3751999041165679,0.17925323021193895,0.3,0.3,0.3323217885991831,0.14931946567251797,0.36128922862699087,0.11668737231799153,0.44915883095289943,0.24260460711182963,0.36105844606587156,0.418334484761217,0.42227265250566837
kfold5_owner,curve+topo,4,fold4,211,22155,0.64,0.3232713986240786,-0.028667006387889105,0.3,0.3,0.2405680321600864,-0.10077005099598946,0.3019044103870113,-0.038728761293674197,0.3891450320700866,0.05983765313669198,0.25413794463695816,0.6667326300657413,0.5294681233144131
kfold5_owner,composite_all+topo,0,fold0,211,22155,0.64,0.7007694686098019,0.31268622340040586,0.3,0.3,0.6876604270870635,0.2458615474822997,0.698073387376069,0.3423243842658018,0.7618452663117243,0.503878899274511,0.7062168451907574,0.6497235240788809,0.6511982989228915
kfold5_owner,composite_all+topo,1,fold1,241,28920,0.62,0.4179028824167279,0.23404575081937995,0.3,0.3,0.31452741271995555,0.1151968744917895,0.3720582332411146,0.1968429451872553,0.42787826040201454,0.3053915438015704,0.23969705150474543,0.46957113621594504,0.22395542225238133
kfold5_owner,composite_all+topo,2,fold2,187,17391,0.77,0.5320727098801988,0.11742735018679662,0.3,0.3,0.49477222945959504,0.11137614208117808,0.4395918914352873,0.08585412114865143,0.5542082609831049,0.20741254003517695,0.4208552479587802,0.4438480862988432,0.49821571183895147
kfold5_owner,composite_all+topo,3,fold3,232,26796,0.73,0.37989744339381165,0.17010084736079756,0.3,0.3,0.34123487827802573,0.14857297423914873,0.36128922862699087,0.11668737231799153,0.4666208320322363,0.24742542322279482,0.3594808190295223,0.418334484761217,0.42227265250566837
kfold5_owner,composite_all+topo,4,fold4,211,22155,0.63,0.31556231398397594,-0.027112083904818007,0.3,0.3,0.2589177643501929,-0.05972259888430087,0.3019044103870113,-0.038728761293674197,0.38330429411466194,0.07030176263721688,0.30417997494487337,0.6667326300657413,0.5294681233144131
kfold5_owner,gm+topo,0,fold0,211,22155,0.38,0.7549278897021496,0.434228593900274,0.3,0.3,0.7339608562542735,0.36137222249676837,0.698073387376069,0.3423243842658018,0.7843496064726161,0.5457223012800441,0.6733776487147436,0.6497235240788809,0.6511982989228915
kfold5_owner,gm+topo,1,fold1,241,28920,0.34,0.40608716799972994,0.2359011006220454,0.3,0.3,0.35200201372389794,0.1999030985961574,0.3720582332411146,0.1968429451872553,0.39475858195597935,0.27758571964789636,0.27491244516630725,0.46957113621594504,0.22395542225238133
kfold5_owner,gm+topo,2,fold2,187,17391,0.37,0.5720966705569592,0.15319663200503186,0.3,0.3,0.5327480279893927,0.12103721043598525,0.4395918914352873,0.08585412114865143,0.5752287758741527,0.2075862313697484,0.4079982622793533,0.4438480862988432,0.49821571183895147
kfold5_owner,gm+topo,3,fold3,232,26796,0.37,0.3890466896581405,0.18271759538127086,0.3,0.3,0.315510027747823,0.12171682492023528,0.36128922862699087,0.11668737231799153,0.46285632112589675,0.24008307766574366,0.38861329098759034,0.418334484761217,0.42227265250566837
kfold5_owner,gm+topo,4,fold4,211,22155,0.34,0.32250041376509575,-0.026755440589064206,0.3,0.3,0.2431168035051675,-0.08585012150089066,0.3019044103870113,-0.038728761293674197,0.38050136924283473,0.04839698243933077,0.28994089153929453,0.6667326300657413,0.5294681233144131
kfold5_owner,gm+obscomp_all+seas_all+contrast+topo,0,fold0,211,22155,1.28,0.719926051585618,0.23421565228421892,0.3,0.3,0.7019547427537532,0.24297873891298782,0.698073387376069,0.3423243842658018,0.7633920743885166,0.4053136731499575,0.7043339427544194,0.6497235240788809,0.6511982989228915
kfold5_owner,gm+obscomp_all+seas_all+contrast+topo,1,fold1,241,28920,1.2,0.38670738724329917,0.2828694977653784,0.3,0.3,0.3167346238129517,0.1948845255550784,0.3720582332411146,0.1968429451872553,0.4031036071139615,0.3230272260986067,0.2521847997069708,0.46957113621594504,0.22395542225238133
kfold5_owner,gm+obscomp_all+seas_all+contrast+topo,2,fold2,187,17391,1.41,0.5737264949324805,0.18032077746847885,0.3,0.3,0.5141742695144925,0.20027429038292455,0.4395918914352873,0.08585412114865143,0.5793107422176977,0.21813121408999803,0.4163676434433583,0.4438480862988432,0.49821571183895147
kfold5_owner,gm+obscomp_all+seas_all+contrast+topo,3,fold3,232,26796,1.45,0.3921971573190568,0.17693327878959864,0.3,0.3,0.3716877490001077,0.15686759148514418,0.36128922862699087,0.11668737231799153,0.4545094351912645,0.23531857814388568,0.39843708591137644,0.418334484761217,0.42227265250566837
kfold5_owner,gm+obscomp_all+seas_all+contrast+topo,4,fold4,211,22155,1.22,0.3814256288503333,0.03357193637094591,0.3,0.3,0.24938849450887016,-0.06885511994395177,0.3019044103870113,-0.038728761293674197,0.43229775125136877,0.10252204132578391,0.3132273280581736,0.6667326300657413,0.5294681233144131
kfold5_owner,curve+gm+obscomp_all+seas_all+contrast+topo,0,fold0,211,22155,1.64,0.726927536102735,0.26705746657688334,0.3,0.3,0.7278032382637794,0.37079733680958027,0.698073387376069,0.3423243842658018,0.7666649889474801,0.4376353828781815,0.708623227451973,0.6497235240788809,0.6511982989228915
kfold5_owner,curve+gm+obscomp_all+seas_all+contrast+topo,1,fold1,241,28920,1.67,0.3838374273771643,0.27520717341160217,0.3,0.3,0.3690959677251086,0.1670317138565065,0.3720582332411146,0.1968429451872553,0.40511187101890495,0.32401146591823493,0.2618816798546243,0.46957113621594504,0.22395542225238133
kfold5_owner,curve+gm+obscomp_all+seas_all+contrast+topo,2,fold2,187,17391,1.71,0.583275641565294,0.19598944653254557,0.3,0.3,0.5245931101784153,0.18949435068875442,0.4395918914352873,0.08585412114865143,0.583458631749264,0.23353542195880483,0.4203469523096675,0.4438480862988432,0.49821571183895147
kfold5_owner,curve+gm+obscomp_all+seas_all+contrast+topo,3,fold3,232,26796,1.86,0.38176247774385547,0.1755853198907954,0.3,0.3,0.3835605741153287,0.18186454697716226,0.36128922862699087,0.11668737231799153,0.4440938351807775,0.22861759535318382,0.39280933939562057,0.418334484761217,0.42227265250566837
kfold5_owner,curve+gm+obscomp_all+seas_all+contrast+topo,4,fold4,211,22155,1.85,0.38840013643875076,0.04297581631755498,0.3,0.3,0.21732738062139678,-0.12782640236272558,0.3019044103870113,-0.038728761293674197,0.43288753212477415,0.10388227675095496,0.3082483320390889,0.6667326300657413,0.5294681233144131
kfold5_window,curve+topo,0,fold0,224,24976,0.8,0.519797349374846,0.2700406381933652,0.3,0.3,0.5017717266572013,0.2470626979494518,0.426821504969062,0.16774511202049525,0.5463783589873746,0.30692927159845895,0.4063289871134935,0.4249182734350336,0.33914357519068045
kfold5_window,curve+topo,1,fold1,214,22791,0.96,0.5074032897671914,0.2857195577486734,0.3,0.3,0.5175985459159338,0.2815325269093424,0.3882294972097793,0.18726242920875646,0.514384315326382,0.3079432185803901,0.3416134007884192,0.382567992746324,0.3364086295235028
kfold5_window,curve+topo,2,fold2,222,24531,0.89,0.560436878251086,0.2912595395045655,0.3,0.3,0.5388640489425239,0.25834102216536814,0.4045845368837989,0.19468497306205668,0.5712679245553014,0.3314985584461496,0.38316537844256254,0.38901042068371083,0.30963625083603435
kfold5_window,curve+topo,3,fold3,204,20706,0.69,0.5361357530957211,0.2795836923956353,0.3,0.3,0.5111874239678112,0.24560279937278484,0.40232722612368266,0.18252135137366898,0.550338634879003,0.32029627294775054,0.45287923291223375,0.518020709180815,0.3830995732291272
kfold5_window,curve+topo,4,fold4,218,23653,0.78,0.5022394709045417,0.30390051038688803,0.3,0.3,0.502195695457299,0.2868923388771313,0.41666857230205867,0.2039070664902467,0.5206242744637214,0.3448024427488098,0.3330705816344791,0.277772954424957,0.22264073202910556
kfold5_window,gm+topo,0,fold0,224,24976,0.41,0.5001256963295028,0.2505532595430714,0.3,0.3,0.49264063402748487,0.2386693988112898,0.426821504969062,0.16774511202049525,0.5274181344513962,0.2823668577280808,0.3979300900569553,0.4249182734350336,0.33914357519068045
kfold5_window,gm+topo,1,fold1,214,22791,0.39,0.50117348652047,0.25527291231895866,0.3,0.3,0.4669974777623954,0.23636198651757778,0.3882294972097793,0.18726242920875646,0.5213177708191769,0.2952142978478388,0.331295746700553,0.382567992746324,0.3364086295235028
